,date,open,high,low,close,rangeoc,rangehl,returns,return_1,return_3,return_5,momentum_5,momentum_10,volatility_5,volatility_10,ma_10,ma_20,ma_ratio,price_ma_ratio,zscore,rsi,state,state_prob_0,state_prob_1,state_prob_2,regime,xgb_prob,xgb_signal,signal,position,strategy_return,trade,costs,net_return,equity
0,16-02-2017,8739,8783.950195,8719.599609,8778,-0.4%,0.7%,0.006090485,0.00610907,-0.003072079,-4.56E-05,1.21E-06,0.000507953,0.00507984,0.004262147,8775.134961,8664.589941,1.012758252,1.000326495,0.768232599,63.07737422,1,3.13E-76,1,2.9300318e-315,bull,0.059600085,0,0,0,0,,,,
1,17-02-2017,8883.700195,8896.450195,8804.25,8821.700195,0.7%,1.0%,0.004966026,0.004978377,0.003343879,0.003201254,0.000651738,0.000929079,0.005543043,0.004492428,8783.209961,8683.919971,1.011433775,1.004382251,0.976036909,66.92951003,1,0.373316467,0.626683533,2.74E-19,bull,0.19700332,0,0,0,0,0,0,0,100000
2,20-02-2017,8818.549805,8886.25,8809.799805,8879.200195,-0.7%,0.9%,0.006496868,0.006518018,0.017708345,0.008421348,0.001693786,0.000893317,0.006153349,0.004440959,8791.025,8710.4125,1.009254728,1.010030138,1.364397718,79.21343676,0,0.301545692,0.698454116,1.91E-07,sideways,0.35993364,0,0,0,0,0,0,0,100000
3,21-02-2017,8890.75,8920.799805,8860.950195,8907.849609,-0.2%,0.7%,0.003221382,0.003226576,0.014792619,0.013142159,0.002628708,0.00158809,0.005906836,0.004174297,8804.97998,8736.22998,1.007869527,1.011683119,1.614394761,72.91990123,1,0.22871361,0.771286367,2.36E-08,bull,0.40945423,0,0,0,0,0,0,0,100000
4,22-02-2017,8931.599609,8960.75,8905.25,8926.900391,0.1%,0.6%,0.002136367,0.002138651,0.011925161,0.023175604,0.004594138,0.001793401,0.001873741,0.004142553,8820.765039,8758.78501,1.007076327,1.012032443,1.761439211,72.99756121,1,0.186884712,0.813115283,5.03E-09,bull,0.24769473,0,0,0,0,0,0,0,100000
5,23-02-2017,8956.400391,8982.150391,8927.549805,8939.5,0.2%,0.6%,0.001410425,0.00141142,0.00679113,0.018398268,0.003654609,0.001827912,0.00208954,0.004137257,8836.875,8775.62251,1.006979846,1.011613268,1.70408431,73.37260285,1,0.1913797,0.808620293,7.14E-09,bull,0.114728,0,0,0,0,0,0,0,100000
6,27-02-2017,8943.700195,8951.799805,8888.650391,8896.700195,0.5%,0.7%,-0.004799216,-0.004787718,-0.001251639,0.008501763,0.001701389,0.001176564,0.004120373,0.004637595,8847.190039,8788.39502,1.006690075,1.005596145,1.148179963,61.73770696,1,0.094708393,0.905291513,9.42E-08,bull,0.023472313,0,0,0,0,0,0,0,100000
7,28-02-2017,8898.950195,8914.75,8867.599609,8879.599609,0.2%,0.5%,-0.001923976,-0.001922127,-0.005298679,4.50E-05,1.34E-05,0.000853573,0.003301237,0.004738812,8854.64502,8800.7375,1.006125341,1.002818248,0.887259907,64.2036575,1,0.150512524,0.849487267,2.09E-07,bull,0.08306718,0,0,0,0,0,0,0,100000
8,01-03-2017,8904.400391,8960.799805,8898.599609,8945.799805,-0.5%,0.7%,0.00742766,0.007455313,0.000704716,0.004260309,0.000859108,0.001743908,0.004611781,0.005082275,8869.99502,8819.9625,1.005672645,1.008546204,1.681386796,69.32750137,0,0.474994038,0.525005935,2.72E-08,sideways,0.32423294,0,0,0,0,0,0,0,100000
9,02-03-2017,8982.849609,8992.5,8879.799805,8899.75,0.9%,1.3%,-0.00516094,-0.005147645,0.000342802,-0.003041413,-0.000598151,0.001997994,0.005217757,0.004598831,8887.5,8829.12998,1.006611073,1.00137834,0.97156866,62.28361183,1,0.073566219,0.926430393,3.39E-06,bull,0.010933016,0,0,0,0,0,0,0,100000
